phase	phaseDuration.ms	peakForce.mN	minimumForce.mN	forceChange.mN	meanForce.mN	sdForce.mN	meanForceRate.mNps	peakForceRate.mNps	peakPosition.mm	positionChange.mm	meanPosition.mm	sdPosition.mm	meanVelocity.mmps	peakVelocity.mmps	heldForce.mN	heldPosition.mm	condition	targetForce.mN	targetRampTime.ms	positionLimit.mm	sourceFile	PID	UpperThreshold	LowerThreshold	outliers
hold	208	267.40564277019075	207.7471597805059	59.65848298968481	254.1081676140217	8.258374291358384	204.54690874560475	9264.45862460048	2.052243117803145	0.5758919698959009	1.9406162255137565	1.9406162255137565	2.790979406909411	42.02212763822643	249.84108814385596	2.6426651247554727	film	250	28.299999999999955	6	02_ddf/--film-shaved-aurora_2022-02-22_13-21-25_P02_250.0_120_2.ddf	P02	275	225	exclude
hold	209.5	271.18487972086115	190.80434396386548	80.38053575699567	253.28865135473117	11.341176837396462	265.25697564260344	12381.39124939596	1.6504659288670465	0.626428006200004	1.534848331735832	1.534848331735832	2.9767011441134774	51.34704575974958	249.1160453043212	2.305186571522833	film	250	28.299999999999955	6	02_ddf/--film-shaved-aurora_2022-02-22_13-21-25_P02_250.0_130_2.ddf	P02	275	225	exclude
hold	208.5	269.0386215922166	200.4197243272144	68.6188972650022	253.76238227406316	9.48516511745457	251.12230223984017	10343.376627246244	1.7408518041959813	0.6832592627130285	1.617549885387179	1.617549885387179	3.30420057774349	48.2201969299596	249.5520461486294	2.5199716881410437	film	250	28.299999999999955	6	02_ddf/--film-shaved-aurora_2022-02-22_13-21-25_P02_250.0_340_2.ddf	P02	275	225	exclude
hold	208.5	336.11101206102177	175.18786430745777	160.923147753564	254.02411040529063	13.043899085543115	-432.93241441516267	-43390.271878666455	0.925388649468248	0.5310924585609117	0.8443911191490463	0.8443911191490463	0.6451751317322346	-103.23350036289123	251.16933834646667	4.362865432503328	film	250	28.299999999999955	6	02_ddf/--film-shaved-aurora_2022-02-22_13-21-25_P02_250.0_550_2.ddf	P02	275	225	exclude
hold	208.5	331.25950876630316	165.1042789043372	166.15522986196595	253.5959097576448	14.61350517988678	-422.9116086932059	-43972.64495608999	0.5661263586382448	0.6143279207193187	0.4687010194125241	0.4687010194125241	0.6223059377537651	-119.35360254329252	250.87084630420983	4.1805638759442445	film	250	28.299999999999955	6	02_ddf/--film-shaved-aurora_2022-02-22_13-21-25_P02_250.0_790_2.ddf	P02	275	225	exclude
hold	206.5	378.8515407871422	196.70776750380563	182.14377328333657	254.80633262547644	13.2983548092878	-669.1879713895462	-46863.49052038372	0.7685467644057512	0.5160328733211984	0.6754832824695242	0.6754832824695242	-0.03800498430630497	-117.61091763032682	252.72750024286088	5.796744047629787	film	250	28.299999999999955	6	02_ddf/--film-shaved-aurora_2022-02-22_13-21-25_P02_250.0_840_2.ddf	P02	275	225	exclude
hold	214	417.7314977141423	257.1812344083497	160.55026330579256	399.6398522586367	27.44018837225564	691.5332657867249	16429.748596575904	2.5786776924423913	1.043410332200303	2.4100480259367205	2.4100480259367205	4.9088618617352	61.54633112433805	395.4538117756554	3.182211777171804	film	400	33.33000000000004	6	02_ddf/--film-shaved-aurora_2022-02-22_13-21-25_P02_400.0_150_2.ddf	P02	440.00000000000006	360	exclude
hold	196	416.2651419168517	405.19877583411926	11.06636608273243	406.0465564437827	1.1308351053587076	-53.31133385638488	-2310.1019525179254	2.529927006663325	0.3364449942796428	2.4339758200933743	2.4339758200933743	1.7556956606676486	18.76226542236203	401.84219005030144	3.2119524273593134	film	400	33.33000000000004	6	02_ddf/--film-shaved-aurora_2022-02-22_13-21-25_P02_400.0_200_2.ddf	P02	440.00000000000006	360	include
hold	214	416.0424216251208	252.53642902915584	163.50599259596493	399.5329309274818	27.79473057064996	703.8944029454093	16465.514567325954	2.443568672480211	1.1242801566172336	2.264186389831553	2.264186389831553	5.274565791663915	62.191226931283424	395.33807398109184	3.171518861228696	film	400	33.33000000000004	6	02_ddf/--film-shaved-aurora_2022-02-22_13-21-25_P02_400.0_320_2.ddf	P02	440.00000000000006	360	exclude
hold	214	416.4398597734123	249.63460486961813	166.80525490379418	399.4841753973518	27.986194195673946	726.0698329325827	16288.701957560192	2.4702543101463337	1.2710242632902595	2.2382534149377613	2.2382534149377613	5.960403605563907	63.418851049262145	395.3009943444125	3.1926412658622234	film	400	33.33000000000004	6	02_ddf/--film-shaved-aurora_2022-02-22_13-21-25_P02_400.0_370_2.ddf	P02	440.00000000000006	360	exclude
hold	215	418.0679050918214	247.7083174154046	170.3595876764168	398.5484656651296	29.552649964332943	502.7787362918119	20347.001263337577	1.7501065189140013	0.9769092096842688	1.6020937596050815	1.6020937596050815	3.929053439041442	74.08193909473582	395.1034574701712	3.742570934044716	film	400	33.33000000000004	6	02_ddf/--film-shaved-aurora_2022-02-22_13-21-25_P02_400.0_710_2.ddf	P02	440.00000000000006	360	exclude
hold	214	418.60896185972734	247.6829635501381	170.92599830958923	399.671132716202	26.24339130815556	130.177497338685	-34873.055502741634	1.5911031049808864	0.8320235277065174	1.4652936059508492	1.4652936059508492	2.5239826436765593	-79.7655554927148	396.9185391892405	4.876966841270626	film	400	33.33000000000004	6	02_ddf/--film-shaved-aurora_2022-02-22_13-21-25_P02_400.0_740_2.ddf	P02	440.00000000000006	360	exclude
hold	228.5	611.4902031968405	273.0104247345329	338.47977846230765	581.5538334500278	74.14102615640918	1447.5747030573525	15299.95476466206	3.615533287710624	1.740965135921554	3.3315142366336863	3.3315142366336863	7.659857969314378	55.15135740159227	577.5816074491437	4.312736806453248	film	600	50	6	02_ddf/--film-shaved-aurora_2022-02-22_13-21-25_P02_600.0_10_2.ddf	P02	660	540	exclude
